,ts,open,high,low,close,volume,RSA,SMA_20,EMA_50,BBL_20_2.0_2.0,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0
49,1771999200000,64888.0,65109.0,64874.0,64880.0,760506.28989622,57.57636993616589,64354.799999999996,64586.64,62633.209963832385,64354.799999999996,66076.3900361676,5.350308092535787,0.6525334106745702
50,1772002800000,64883.0,65188.0,64798.0,65030.0,927597.27812719,59.20917705601844,64445.09999999999,64604.026666666665,62784.8845542473,64445.09999999999,66105.31544575268,5.152340350942717,0.6761518366475722
51,1772006400000,65030.0,65567.0,64993.0,65524.0,1005081.31743185,64.10852951330119,64572.299999999996,64640.10405228758,62997.07014542738,64572.299999999996,66147.52985457261,4.878964678577704,0.8020828983266749
52,1772010000000,65525.0,65666.0,65431.0,65560.0,695595.80899998,64.44369024704625,64704.799999999996,64676.17840317826,63279.64307789225,64704.799999999996,66129.95692210774,4.405104171893722,0.8000371351160408
53,1772013600000,65560.0,65623.0,65350.0,65385.0,625759.65126413,61.440143911419824,64802.0,64703.97532854382,63478.200205946196,64802.0,66125.7997940538,4.0856757323965445,0.7201994601520177
54,1772017200000,65386.0,65467.0,65200.0,65433.0,552447.98084973,61.96379140266993,64875.3,64732.564531346026,63584.22976260206,64875.3,66166.37023739795,3.980159590469543,0.7159836017612798
55,1772020800000,65433.0,66220.0,65340.0,66042.0,1385822.57197959,67.91686394149792,64964.25,64783.91494188148,63607.34704415569,64964.25,66321.1529558443,4.177383578950895,0.8971359909557411
56,1772024400000,66045.0,66655.0,66018.0,66242.0,1518910.52610939,69.59961702554841,65065.45,64841.09474808221,63642.587137206865,65065.45,66488.31286279313,4.3736356631457465,0.9134446230785699
57,1772028000000,66243.0,66996.0,66211.0,66973.0,2318766.48581052,74.80179545290741,65193.55,64924.6988756084,63571.41307606291,65193.55,66815.6869239371,4.976372429288156,1.0484894566363374
58,1772031600000,66973.0,67567.0,66733.0,67394.0,3948346.45883244,77.21957859393859,65342.1,65021.53421381984,63489.324000246306,65342.1,67194.87599975368,5.671002308630084,1.0537366633291851
59,1772035200000,67394.0,68318.0,67393.0,68254.0,2247519.59082251,81.19000738758771,65531.74999999999,65148.297577983765,63317.481355147,65531.74999999999,67746.01864485299,6.757849881478805,1.1147063515368387
60,1772038800000,68255.0,68873.0,68040.0,68669.0,3557372.26688567,82.7522300639288,65762.54999999999,65286.364339631466,63254.48112870516,65762.54999999999,68270.6188712948,7.627650908594091,1.0794198941792863
61,1772042400000,68668.0,69500.0,68380.0,69320.0,2891191.03570799,84.87441860300238,66022.9,65444.54613023416,63177.47013514833,66022.9,68868.32986485165,8.619524028334592,1.0793676450661518
62,1772046000000,69320.0,69375.0,68761.0,69025.0,1969851.65459744,80.06680846353437,66271.95,65584.95608591125,63287.27761385241,66271.95,69256.62238614759,9.007347410624217,0.961198021728852
63,1772049600000,69025.0,69350.0,68635.0,69142.0,1743335.23793963,80.53767272684755,66518.4,65724.44800411082,63437.134409028375,66518.4,69599.6655909716,9.264400800294704,0.9257341541228047
64,1772053200000,69142.0,69964.0,68784.0,68911.0,2413849.95842217,76.68603040941989,66669.25,65849.41082747902,63425.56840909772,66669.25,69912.93159090228,9.730667709333106,0.8455564205635268
65,1772056800000,68911.0,69159.0,68053.0,68435.0,1639566.91562048,69.32840399755715,66796.75,65950.80648130337,63483.1517411501,66796.75,70110.3482588499,9.921435575383242,0.7472010593958681
66,1772060400000,68432.0,68658.0,67617.0,67961.0,1061152.80873297,62.86061054694909,66925.09999999999,66029.63759968363,63641.553143642486,66925.09999999999,70208.64685635749,9.812602017352239,0.6577410107601076
67,1772064000000,67962.0,68518.0,67741.0,68341.0,837157.09211257,65.6289991734598,67070.05,66120.27926244114,63806.27895056065,67070.05,70333.82104943936,9.732424679687442,0.6947057530610671
68,1772067600000,68340.0,68676.0,68197.0,68242.0,561831.19122637,64.28457790469184,67238.15000000001,66203.48399724737,64105.639570731764,67238.15000000001,70370.66042926825,9.317657994065096,0.6602309110642763
69,1772071200000,68242.0,68328.0,67810.0,68253.0,501912.62422469,64.37191008576892,67406.8,66283.8571738259,64450.62376424497,67406.8,70362.97623575504,8.771151384593342,0.6431240786265016
70,1772074800000,68253.0,68346.0,68044.0,68194.0,482648.01950881,63.47537395304642,67565.00000000001,66358.76473563665,64812.77196477192,67565.00000000001,70317.22803522811,8.14690456664869,0.6142710545690405
71,1772078400000,68195.0,68863.0,68194.0,68577.0,1041535.41006521,66.71606420474593,67717.65000000001,66445.75435384698,65107.04295020836,67717.65000000001,70328.25704979166,7.710270659987909,0.6645881558598745
72,1772082000000,68578.0,68578.0,68147.0,68417.0,701884.93649595,64.1551832718547,67860.50000000001,66523.05810467651,65441.363877548814,67860.50000000001,70279.63612245122,7.1297326793973035,0.6150203981568646
73,1772085600000,68417.0,68484.0,68075.0,68164.0,922137.87955021,60.21897942484799,67999.45000000001,66587.40876723823,65878.08435494942,67999.45000000001,70120.8156450506,6.239361186158402,0.5387839787035072
74,1772089200000,68165.0,68286.0,67814.0,67814.0,720324.92679983,55.17556318213558,68118.5,66635.51038420928,66368.90269294816,68118.5,69868.09730705184,5.136922589463472,0.4129799757999461
75,1772092800000,67822.0,68231.0,67788.0,67914.0,1391418.33450965,56.30165309677876,68212.09999999999,66685.64723188736,66754.27683550151,68212.09999999999,69669.92316449847,4.274382886609494,0.39775851857089123
76,1772096400000,67914.0,68582.0,67914.0,68539.0,932423.46724109,62.621975995598866,68326.94999999998,66758.32773259765,67197.75010160852,68326.94999999998,69456.14989839145,3.3052840742678185,0.593893915639773
77,1772100000000,68538.0,68718.0,68255.0,68291.0,897079.98445248,58.976852896014364,68392.84999999998,66818.43252739774,67459.49785795838,68392.84999999998,69326.20214204157,2.7293851390652475,0.44543859953158066
78,1772103600000,68292.0,68363.0,67986.0,68011.0,544084.54237841,55.07868928784396,68423.69999999998,66865.1998792645,67594.36695154227,68423.69999999998,69253.0330484577,2.4241105010624,0.25118560585070904
79,1772107200000,68011.0,68297.0,68010.0,68140.0,758150.04955752,56.50506367035053,68418.0,66915.19204086198,67582.21407928575,68418.0,69253.78592071425,2.4431755406888436,0.3336894693305993
80,1772110800000,68140.0,68215.0,67855.0,67911.0,862326.92403682,53.27132398201219,68380.09999999999,66954.24333337719,67523.74594139736,68380.09999999999,69236.45405860263,2.504687938750121,0.22610627853772894
81,1772114400000,67910.0,68281.0,67277.0,67700.0,1664482.87026792,50.40875902409963,68299.1,66983.4886928526,67513.53552979842,68299.1,69084.66447020159,2.300365510531135,0.11868183788513907
82,1772118000000,67703.0,67720.0,66781.0,67357.0,2221245.68520647,46.07446372323288,68215.7,66998.13619509367,67400.99434440154,68215.7,69030.40565559846,2.3886162733753666,-0.02700014667826264
83,1772121600000,67358.0,67525.0,66520.0,66631.0,1969644.28857338,38.524037447094656,68090.15,66983.73869724687,67117.81947898043,68090.15,69062.48052101956,2.856009337678265,-0.2503364177388751
84,1772125200000,66626.0,67038.0,66592.0,66837.0,1032514.96776684,41.45568137902739,67986.45000000001,66977.98423853131,66942.944475842,67986.45000000001,69029.95552415802,3.0697455865338226,-0.05076373502070553
85,1772128800000,66839.0,67369.0,66584.0,67294.0,1156191.4562384,47.44346715088885,67929.40000000001,66990.37701349087,66864.60559928672,67929.40000000001,68994.1944007133,3.1350031082661998,0.20163254071660988
86,1772132400000,67295.0,67868.0,67295.0,67598.0,1395837.61086811,51.03137649690627,67911.25000000001,67014.20536590299,66836.39600746705,67911.25000000001,68986.10399253298,3.165466671672124,0.3542825341040883
87,1772136000000,67599.0,67800.0,67289.0,67380.0,434022.01314137,48.47569688231352,67863.20000000001,67028.55025351464,66783.32737593206,67863.20000000001,68943.07262406797,3.1824983910807427,0.2762699094177587
88,1772139600000,67381.0,67547.0,67165.0,67431.0,569726.72449305,49.117695750205876,67822.65000000001,67044.33259651407,66741.7620073604,67822.65000000001,68903.53799263961,3.1873953395793406,0.3188295167182068
89,1772143200000,67435.0,67605.0,67334.0,67563.0,204251.9013943,50.82554726597396,67788.15000000001,67064.67249468999,66721.13975982775,67788.15000000001,68855.16024017226,3.148073048673711,0.3944949207030753
90,1772146800000,67555.0,67625.0,67410.0,67468.0,242570.72612321,49.536863951134634,67751.85,67080.48925960412,66693.61367677615,67751.85,68810.08632322386,3.1238595646431992,0.36588534443078224
91,1772150400000,67468.0,67524.0,67020.0,67226.0,312226.81513248,46.31531171728157,67684.3,67086.19556314906,66676.56776739431,67684.3,68692.03223260569,2.977742940698771,0.27260824593504446
92,1772154000000,67226.0,67369.0,66894.0,67348.0,466288.84248021,48.14613712655267,67630.85,67096.46240380988,66674.66783831918,67630.85,68587.03216168084,2.82765087731658,0.352094082416892
93,1772157600000,67349.0,67520.0,67275.0,67275.0,356937.72548092,47.11083988913013,67586.40000000001,67103.46387817028,66652.17194263996,67586.40000000001,68520.62805736005,2.7645445159382467,0.33333833877780994
94,1772161200000,67276.0,67694.0,67096.0,67611.0,460386.03915778,52.20515457553947,67576.25000000001,67123.36725549694,66648.04202080978,67576.25000000001,68504.45797919025,2.747142610577639,0.5187188651568699
95,1772164800000,67611.0,68190.0,67587.0,67712.0,878149.54724532,53.650368585399484,67566.15000000001,67146.45089253628,66649.08711975862,67566.15000000001,68483.2128802414,2.7145630770478553,0.579520174211828
96,1772168400000,67726.0,67904.0,67687.0,67702.0,468268.89522336,53.47794798792385,67524.30000000002,67168.23713204465,66725.38491986698,67524.30000000002,68323.21508013306,2.366303923574297,0.611213321928027
97,1772172000000,67712.0,67805.0,67528.0,67653.0,375770.01349212,52.586145786240266,67492.40000000001,67187.24744059192,66775.66136305832,67492.40000000001,68209.1386369417,2.1239091718228797,0.6120352606392672
98,1772175600000,67654.0,67747.0,67457.0,67695.0,565865.02234649,53.30493684562841,67476.6,67207.15930566675,66794.92237901763,67476.6,68158.27762098238,2.020485978790789,0.6601930247359856
99,1772179200000,67682.0,68000.0,67669.0,67846.0,431383.04770645,55.89380165947237,67461.90000000001,67232.21188191512,66829.56334749117,67461.90000000001,68094.23665250884,1.874648216278625,0.803714800080029
